Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink;;;;;;;;;;
14436;Harper's Bazar;Cartells;Charles Louis Hinton;004324-C;423;293;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513099;;;;;;;;;;
14441;Harper's Bazar. Easter 1895;Cartells;anònim;004327-C;413;287;Secció de Cartells (MNAC);1895;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513100;;;;;;;;;;
14419;Gran Cafe Restaurant Tibidavo;Cartells;Ricard Opisso i Sala;000352-C;695;100;Secció de Cartells (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513102;;;;;;;;;;
14574;Maristany & Arnó. Vinos;Cartells;Joan Llaverias i Labró;000373-C;885;645;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513103;;;;;;;;;;
14659;Real Club de Barcelona;Cartells;Joan Llaverias i Labró;000402-C;76;1087;Secció de Cartells (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513104;;;;;;;;;;
14600;Nestlé's Swiss Milk;Cartells;;000542-C;508;318;Secció de Cartells (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513105;;;;;;;;;;
14633;Photograms of the Year;Cartells;;000039-C;76;514;Secció de Cartells (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513106;;;;;;;;;;
14463;Harper's Weekly. Christmas (Museu Nacional d'Art de Catalunya, inv 000471-C);Cartells;Maxfield Parrish;000471-C;413;284;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513107;;;;;;;;;;
14426;Grande semaine d'aviation. Barcelone 1910;Cartells;Llorenç Brunet i Forroll;000650-C;1025;728;Secció de Cartells (MNAC);1910;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513108;;;;;;;;;;
14802;The Century. August;Cartells;Joseph Christian Leyendecker;000528-C01;539;404;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513109;;;;;;;;;;
14434;Harper's August. Tom Sawyer Detective;Cartells;Edward Penfield;000478-C;476;348;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513112;;;;;;;;;;
14216;Café Jacqmotte;Cartells;Q2966291;000201-C;1152;885;Secció de Cartells (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513113;;;;;;;;;;
